,MMM,AXP,AAPL,BA,CAT,CVX,CSCO,KO,DIS,DWDP,XOM,GS,HD,IBM,INTC,JNJ,JPM,MCD,MRK,MSFT,NKE,PFE,PG,TRV,UTX,UNH,VZ,V,WMT,WBA
0,243.675,95.47,158.35,342.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,243.52,95.45,158.31,341.765,155.025,116.83,40.915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,243.555,95.31,158.35,341.995,154.395,117.08,40.945,46.65,0,70.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,243.63,95.27,158.455,339.35,153.745,117.085,41.07,46.765,0,70.285,83.525,256.815,189.165,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,243.67,95.235,159.225,337.2,153.1,117.035,41.1,46.76,0,70.27,83.53,256.935,189.025,157.935,46.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,243.575,95.32,159.61,337.39,153.165,117.01,41.02,46.85,0,70.265,83.545,257.225,189.315,157.935,46.345,136.22,112.565,0,0,0,0,0,0,0,0,0,0,0,0,0
6,242.51,95.35,159.075,337.625,153.55,117.075,41.08,46.86,0,70.295,83.365,257.015,189.485,158.125,46.33,136.38,112.575,168.775,58.38,0,0,0,0,0,0,0,0,0,0,0
7,242.47,95.345,159.31,337.835,153.395,116.995,41.065,46.83,0,70.24,83.375,257.01,190.07,158.175,46.31,136.185,112.47,168.5,58.39,90.58,0,0,0,0,0,0,0,0,0,0
8,242.47,95.34,159.295,338.805,153.675,116.35,41.035,46.83,0,70.26,83.415,257.31,190.205,157.985,46.355,136.18,112.595,168.685,58.4,90.75,67.07,36.605,0,0,0,0,0,0,0,0
9,242.385,95.365,159.21,338.97,153.85,116.765,40.945,46.82,0,69.53,83.425,257.535,190.445,158.015,46.325,136.26,112.615,168.73,58.405,90.705,67.02,36.565,84.1,147.37,133.265,230.125,0,0,0,0
10,242.305,95.46,159.385,339.18,153.735,116.925,40.93,46.79,0,69.885,83.525,257.645,190.855,158.16,46.305,136.305,112.63,168.58,58.4,90.65,66.98,36.615,84.07,147.39,133.345,230.06,52.765,119.765,103.625,0
11,242.33,95.69,159.595,338.6,153.48,117.285,40.915,46.74,107.545,69.76,83.655,258.435,190.675,158.135,46.27,136.485,112.87,168.24,58.3,90.73,67.025,36.655,84.065,147.47,133.5,230.155,52.745,119.655,103.98,73.43
12,242.335,95.905,159.9,338.015,154.655,117.285,40.91,46.755,107.775,69.495,83.82,259.055,191.28,158.185,46.345,136.52,113.04,167.865,58.285,90.695,67.02,36.645,84.04,147.48,133.55,230.22,52.775,119.3,104.075,73.45
13,242.625,95.86,159.83,337.65,154.415,117.195,40.98,46.705,107.785,69.615,83.91,259,192,158.155,46.355,136.775,113.135,168.125,58.295,90.705,67.01,36.69,84.02,147.48,133.55,230.175,52.77,119.315,104.08,73.45
14,242.7,95.735,159.8,338.36,154.315,117.285,40.92,46.69,107.77,69.75,83.915,259.065,191.815,158.125,46.29,136.605,113.075,168.06,58.255,90.72,66.965,36.665,84.085,147.66,133.545,230.095,52.695,119.315,104.085,73.47
15,242.715,95.695,159.84,338.55,154.235,117.45,40.915,46.73,107.74,69.795,83.875,259.08,191.67,157.985,46.295,136.345,113.02,168.135,58.205,90.525,66.915,36.665,84.11,147.665,133.485,229.945,52.655,119.29,104.115,73.455
16,242.74,95.685,159.81,338.21,154.15,117.3,40.915,46.73,107.755,69.7,83.725,259.44,191.575,158.065,46.255,136.4,112.965,168.17,58.08,90.6,66.935,36.675,84.13,147.57,133.5,230.015,52.64,119.03,104.05,73.435
17,242.76,95.64,159.875,337.97,154.255,117.225,40.81,46.705,107.875,69.72,83.735,259.17,191.815,158.09,46.275,136.435,112.95,168.16,57.875,90.6,66.97,36.635,84.14,147.6,133.28,230.075,52.635,119.225,104,73.43
18,242.78,95.72,160.05,338.59,154.64,117.42,40.805,46.715,107.82,69.715,83.895,259.04,191.77,157.935,46.275,136.385,112.97,168.125,57.945,90.69,66.98,36.64,84.18,147.6,133.265,230.06,52.595,119.415,103.925,73.38
19,242.775,95.67,160.18,338.695,154.77,117.43,40.855,46.74,107.825,69.775,83.82,259.02,191.56,157.975,46.245,136.425,112.99,168.41,57.97,90.755,67.01,36.68,84.27,147.61,133.255,230.58,52.65,119.57,103.965,73.455
20,243.255,95.69,160.355,338.85,154.775,117.705,40.875,46.77,107.835,69.775,83.905,259.035,191.56,158.06,46.245,136.645,112.97,168.415,58.03,90.76,66.99,36.675,84.335,147.62,133.29,230.68,52.665,119.335,104.025,73.495
21,243.29,95.77,160.225,339.54,154.715,117.72,40.875,46.755,107.845,69.725,83.925,259.02,191.28,158.205,46.285,136.665,113.005,168.495,58.14,90.765,66.965,36.63,84.245,147.63,133.29,230.675,52.62,119.535,103.905,73.525
22,243.325,95.765,160.18,339.105,154.835,117.58,40.835,46.71,108.07,69.76,83.875,259.055,191.37,158.055,46.305,136.72,112.985,168.4,58.155,90.825,66.965,36.625,84.155,147.84,133.29,230.645,52.625,119.64,103.985,73.53
23,243.37,95.86,160.085,339.31,154.63,117.495,40.805,46.675,108.025,69.78,83.8,259.14,191.395,158.095,46.275,136.775,113.01,168.48,58.025,90.825,67.075,36.605,84.175,147.705,133.31,230.745,52.625,119.64,104.01,73.555
24,243.35,95.86,160.08,340.03,154.745,117.35,40.855,46.675,107.98,69.815,83.665,259.33,191.5,158.115,46.275,136.875,113.045,168.38,58.14,90.885,67.21,36.635,84.105,147.655,133.31,230.765,52.61,119.655,104.045,73.57
25,243.385,95.86,160.1,341.095,154.82,117.14,40.825,46.62,107.93,69.805,83.54,259.34,191.575,158.12,46.225,136.835,113.065,168.38,58.18,90.855,67.185,36.605,84,147.605,133.395,230.795,52.605,119.645,104.01,73.615
26,243.47,95.87,160.125,341.155,154.77,117.21,40.825,46.575,107.965,69.755,83.515,259.32,191.585,158.065,46.265,136.925,113.125,168.345,58.22,90.86,67.175,36.57,83.915,147.605,133.41,230.805,52.565,119.36,104.025,73.58
27,243.555,95.955,160.09,340.875,154.84,117.345,40.835,46.575,108.015,69.77,83.61,259.32,191.605,157.965,46.205,136.9,113.165,168.295,58.21,90.805,67.085,36.555,83.91,147.63,133.405,230.8,52.565,119.42,104.135,73.635
28,243.555,96.045,160.145,340.73,154.93,117.5,40.845,46.55,108.085,69.775,83.68,259.32,191.85,158.035,46.235,136.905,113.225,168.185,58.225,90.815,67.05,36.535,83.77,147.66,133.35,230.775,52.575,119.48,104.135,73.64
29,243.77,95.945,160.07,340.815,154.915,117.32,40.845,46.565,108.06,69.83,83.695,259.64,191.76,158.06,46.215,136.81,113.28,168.43,58.29,90.86,67.005,36.565,84.005,147.805,133.36,230.76,52.595,119.495,104.15,73.67
30,243.82,95.92,160.045,340.76,154.92,117.43,40.845,46.565,108.115,69.87,83.725,259.68,191.65,158.205,46.215,136.825,113.3,168.43,58.205,90.85,66.915,36.535,83.975,147.855,133.355,230.865,52.545,119.745,104.095,73.685
31,243.825,95.96,159.855,340.745,155.04,117.52,40.875,46.565,108.13,69.965,83.755,259.765,191.36,158.27,46.24,136.935,113.325,168.435,58.16,90.88,66.965,36.525,83.975,147.83,133.395,231.22,52.58,119.52,103.98,73.575
32,243.9,95.995,159.9,341.13,155.125,117.595,40.875,46.555,108.115,70.055,83.845,260.275,191.33,158.24,46.265,136.88,113.365,168.47,58.19,90.875,66.975,36.525,83.965,147.84,133.39,231.35,52.57,119.535,104.045,73.63
33,243.94,96.03,160.015,341.355,155.345,117.72,40.875,46.55,108.12,70.11,83.955,260.65,191.345,158.235,46.275,136.855,113.4,168.44,58.21,90.88,66.96,36.545,83.96,147.755,133.52,231.465,52.575,119.48,104.075,73.805
34,243.95,96.035,160.125,341.5,155.28,117.75,40.865,46.535,108.035,70.12,83.925,260.665,191.365,158.035,46.255,136.8,113.43,168.44,58.22,90.92,66.94,36.545,83.96,147.74,133.435,231.445,52.54,119.47,104.055,73.745
35,243.585,96.02,160.145,341.535,155.26,117.785,40.855,46.505,107.97,70.115,83.89,260.67,191.36,158.035,46.315,136.82,113.48,168.315,58.265,90.97,66.865,36.535,83.93,147.75,133.35,231.445,52.525,119.46,104.06,73.71
36,243.65,96.02,160.155,341.58,155.295,117.88,40.845,46.495,108.015,70.12,83.895,261.13,191.45,158.08,46.315,136.805,113.52,168.33,58.2,90.965,66.89,36.515,83.935,147.745,133.465,231.41,52.525,119.435,104.055,73.72
37,243.62,96.015,160.14,341.67,155.34,117.925,40.88,46.525,108.03,70.145,83.895,260.995,191.59,158.04,46.335,136.795,113.385,168.685,58.275,90.975,66.91,36.555,83.945,147.77,133.48,231.355,52.515,119.395,104.03,73.815
38,243.58,96.015,160.08,341.345,155.34,117.985,40.875,46.525,108.075,70.185,83.905,261.08,191.57,158.04,46.345,136.8,113.37,168.685,58.3,91.055,66.89,36.575,83.96,147.755,133.46,231.355,52.525,119.205,104.06,73.92
39,243.315,96.025,160.025,341.6,155.435,117.975,40.885,46.5,108.075,70.185,83.78,260.81,191.58,158.125,46.385,136.9,113.35,168.665,58.305,91.085,66.895,36.575,83.95,147.76,133.41,231.295,52.525,119.195,104.085,73.915
40,243.36,96.025,159.98,341.415,155.55,118.08,40.915,46.495,108.04,70.22,83.835,260.63,191.79,158.1,46.415,136.85,113.37,168.675,58.25,91.065,66.905,36.545,83.97,147.715,133.405,231.25,52.525,119.055,104.115,73.925
41,243.59,96.025,160.17,341.43,155.63,118.29,40.945,46.485,108.06,70.26,83.86,260.81,191.765,158.095,46.455,136.865,113.505,168.675,58.295,91.07,66.935,36.575,83.955,147.71,133.41,231.3,52.535,118.98,104.095,73.96
42,243.445,96.02,160.03,341.3,155.745,118.1,40.965,46.495,108.02,70.235,83.82,261.01,191.675,158.095,46.475,136.875,113.555,168.69,58.335,91.09,66.89,36.575,83.965,147.71,133.53,231.315,52.545,118.98,104.07,73.96
43,243.555,95.97,160.19,341.42,155.86,118.085,40.955,46.485,108.005,70.235,83.8,260.625,191.195,158.09,46.485,136.73,113.55,168.475,58.33,91.18,66.845,36.535,83.99,147.71,133.5,231.315,52.56,119.025,104.005,74.005
44,243.44,95.845,160.155,341.325,155.88,118.18,40.965,46.47,107.95,70.22,83.895,260.495,191.225,158.095,46.505,136.76,113.345,168.405,58.26,91.2,66.785,36.525,84.06,147.51,133.39,231.305,52.535,118.98,103.87,73.97
45,243.215,95.855,160.36,341.155,156.065,118.18,40.975,46.455,107.96,70.25,83.84,260.14,191.18,158.095,46.445,136.75,113.315,168.455,58.26,91.265,66.84,36.525,84.045,147.46,133.39,231.2,52.53,119.01,103.89,73.94
46,243.245,95.855,160.565,341.45,156.225,118.19,40.995,46.435,107.84,70.275,83.81,259.85,191.195,158.005,46.495,136.715,113.275,168.445,58.225,91.25,66.795,36.515,84.035,147.35,133.335,231.095,52.53,119.01,103.87,73.93
47,243.25,95.82,160.44,341.45,156.225,118.12,40.995,46.455,107.87,70.17,83.825,259.69,191.145,157.885,46.455,136.715,113.27,168.32,58.225,91.295,66.72,36.495,84.005,147.275,133.24,230.915,52.53,119.04,103.865,73.89
48,243.25,95.78,160.525,341.535,156.23,118.08,41.015,46.495,107.86,70.195,83.81,259.635,191.195,157.935,46.455,136.67,113.245,168.335,58.195,91.285,66.775,36.515,84.04,147.23,133.255,230.93,52.54,119.005,103.905,73.94
49,243.415,95.76,160.725,341.545,156.25,118.07,41.045,46.485,107.89,70.25,83.805,259.515,191.13,157.93,46.395,136.68,113.305,168.49,58.225,91.3,66.82,36.525,84.04,147.17,133.23,230.94,52.53,119.015,103.96,74.145
50,243.455,95.87,160.615,341.63,156.275,118.12,41.085,46.44,107.86,70.26,83.765,259.795,191.1,157.92,46.365,136.695,113.35,168.49,58.2,91.245,66.795,36.495,83.975,147.44,133.195,230.99,52.515,119.03,103.955,74.14
51,243.325,95.835,160.56,341.59,156.285,118.16,41.075,46.44,107.89,70.27,83.79,259.79,191.06,157.93,46.43,136.66,113.33,168.535,58.165,91.32,66.76,36.495,83.97,147.44,133.165,230.985,52.53,119.035,104.01,74.125
52,243.175,95.835,160.45,341.59,156.415,118.13,41.025,46.415,107.875,70.275,83.75,259.78,191.065,157.875,46.435,136.69,113.41,168.42,58.095,91.245,66.805,36.475,83.905,147.33,133.145,230.95,52.59,119,104.005,74.01
53,242.97,95.75,160.315,341.135,156.445,117.975,41.035,46.385,107.74,70.22,83.665,259.78,190.885,157.83,46.395,136.45,113.295,168.295,57.995,91.225,66.74,36.425,83.84,147.335,133,230.885,52.66,118.855,103.98,73.975
54,243.005,95.705,160.295,340.685,156.6,118.115,41.03,46.395,107.71,70.255,83.72,259.44,190.935,157.68,46.415,136.415,113.335,168.33,58,91.225,66.72,36.435,83.895,147.31,133,230.895,52.735,118.805,104.01,73.975
55,242.975,95.72,160.475,340.555,156.52,118.06,41.005,46.375,107.67,70.32,83.745,259.44,190.93,157.615,46.445,136.42,113.29,168.36,58.05,91.2,66.73,36.415,83.905,147.215,133.005,230.9,52.73,118.99,104.065,74.01
56,243,95.71,160.455,340.79,156.54,118.05,40.995,46.345,107.815,70.365,83.765,259.535,190.925,157.57,46.385,136.4,113.265,168.33,58.01,91.165,66.715,36.395,83.895,147.21,133,230.89,52.72,119.11,103.995,73.995
57,242.845,95.705,160.445,340.7,156.595,117.905,40.94,46.325,107.82,70.385,83.705,259.555,190.925,157.57,46.375,136.375,113.175,168.17,58.045,91.15,66.675,36.385,83.895,147.14,132.93,230.85,52.7,119.06,104.015,73.935
58,242.745,95.74,160.44,340.36,156.595,117.855,40.935,46.335,107.865,70.38,83.625,259.32,191.175,157.55,46.355,136.205,113.225,168.315,58.07,91.235,66.685,36.385,83.935,147.135,133.145,230.85,52.735,119.145,103.965,73.97
59,242.745,95.705,160.685,340.3,156.63,117.905,40.925,46.295,107.83,70.34,83.63,259.32,191.275,157.54,46.285,136.235,113.235,168.185,58.03,91.165,66.72,36.375,83.945,147.115,132.99,230.865,52.73,119.22,103.965,73.935
60,242.745,95.695,160.82,340.485,156.655,118.035,40.945,46.305,107.84,70.34,83.66,259.27,191.45,157.57,46.345,136.355,113.21,168.185,58.015,91.245,66.81,36.365,83.96,147.11,133.035,230.84,52.72,119.21,103.97,73.98
61,242.745,95.67,160.815,340.285,156.66,118.03,40.935,46.295,107.915,70.225,83.645,259.245,191.45,157.56,46.345,136.36,113.21,168.16,57.98,91.22,66.795,36.365,83.94,147.105,133.03,230.75,52.715,119.19,104.03,73.965
62,242.74,95.665,160.845,340.19,156.525,117.905,40.925,46.265,107.905,70.255,83.54,259.03,191.545,157.6,46.305,136.345,113.175,168.165,58,91.205,66.835,36.365,83.9,147.095,132.96,230.67,52.705,119.2,104.01,73.98
63,242.505,95.6,160.875,340.16,156.665,117.87,40.925,46.27,107.885,70.28,83.585,259.22,191.805,157.555,46.345,136.345,113.205,168.13,57.91,91.195,66.875,36.295,83.87,146.89,132.96,230.905,52.71,119.2,104.035,73.965
64,242.525,95.625,160.81,340.28,156.645,117.905,40.925,46.245,107.88,70.285,83.525,259.245,191.79,157.45,46.345,136.205,113.2,168.12,57.93,91.21,66.845,36.285,83.81,146.86,132.95,230.99,52.7,119.205,104.035,73.895
65,242.44,95.625,160.69,340.29,156.6,117.715,40.955,46.235,107.85,70.3,83.525,259.26,191.83,157.395,46.355,136.095,113.225,168.1,57.96,91.275,66.84,36.305,83.795,146.77,132.915,230.775,52.68,119.24,104,73.84
66,242.345,95.535,160.67,339.875,156.42,117.6,40.955,46.245,107.87,70.3,83.505,259.24,191.77,157.33,46.335,136.17,113.145,168.025,57.935,91.185,66.8,36.305,83.84,146.765,132.865,230.685,52.66,119.24,103.965,73.81
67,242.415,95.545,160.665,339.6,156.375,117.73,41.005,46.275,107.83,70.325,83.565,259.225,191.84,157.485,46.375,136.185,113.07,168.115,57.935,91.195,66.805,36.335,83.855,146.715,132.775,231.2,52.65,119.435,104.06,73.81
68,242.415,95.515,160.66,339.69,156.345,117.625,40.985,46.275,107.835,70.345,83.47,259.22,191.85,157.455,46.375,136.155,113.05,168.09,57.92,91.235,66.77,36.295,83.825,146.635,132.72,231.14,52.585,119.43,104.06,73.805
69,242.415,95.51,160.48,339.395,156.26,117.49,40.995,46.275,107.83,70.325,83.46,259.26,191.54,157.45,46.395,136.13,113.105,167.995,57.835,91.27,66.72,36.265,83.855,146.64,132.665,231.075,52.54,119.47,104.06,73.795
70,242.36,95.485,160.615,339.535,156.47,117.545,41.005,46.255,107.905,70.34,83.43,259.25,191.585,157.43,46.415,136.13,113.03,168.13,57.865,91.265,66.71,36.285,83.815,146.595,132.655,231.13,52.54,119.43,104.105,73.85
71,242.385,95.47,160.68,339.75,156.535,117.475,41.005,46.255,107.825,70.345,83.41,259.565,191.57,157.43,46.395,136.175,113.065,168.09,57.89,91.255,66.745,36.295,83.83,146.595,132.74,231.175,52.555,119.36,104.085,73.85
72,242.4,95.46,160.655,339.795,156.51,117.585,41.015,46.275,107.875,70.37,83.395,259.64,191.55,157.43,46.385,136.205,113.155,167.97,57.9,91.265,66.74,36.305,83.825,146.595,132.835,231.145,52.565,119.24,104.04,73.86
73,242.595,95.6,160.66,339.87,156.585,117.645,41.045,46.295,107.855,70.41,83.45,259.76,191.74,157.54,46.425,136.345,113.22,168.16,57.925,91.315,66.74,36.325,83.845,146.695,132.86,231.305,52.615,119.215,104.065,73.885
74,242.57,95.645,160.635,339.895,156.58,117.45,41.025,46.275,107.855,70.355,83.375,259.7,191.44,157.485,46.365,136.33,113.18,167.985,57.885,91.305,66.725,36.295,83.785,146.625,132.765,231.235,52.54,119.36,103.99,73.715
75,242.555,95.58,160.61,339.63,156.31,117.49,41.085,46.285,107.79,70.32,83.425,259.415,191.315,157.435,46.395,136.295,113.125,167.88,57.89,91.325,66.68,36.295,83.8,146.625,132.725,230.95,52.53,119.39,103.995,73.715
76,242.465,95.55,160.55,339.715,156.275,117.55,41.105,46.305,107.72,70.305,83.405,259.155,191.305,157.37,46.365,136.285,113.075,167.91,57.785,91.415,66.685,36.265,83.795,146.61,132.725,230.96,52.465,119.45,103.965,73.66
77,242.475,95.515,160.555,339.905,156.47,117.48,41.095,46.305,107.69,70.365,83.435,259.3,191.395,157.455,46.32,136.24,113.015,167.885,57.815,91.415,66.705,36.26,83.86,146.63,132.705,230.96,52.47,119.445,103.935,73.625
78,242.29,95.48,160.53,339.78,156.165,117.44,41.045,46.295,107.795,70.41,83.395,258.97,191.275,157.405,46.325,136.22,113.005,167.88,57.795,91.395,66.695,36.225,83.875,146.59,132.655,230.795,52.45,119.51,103.875,73.505
79,242.315,95.495,160.46,339.95,156.175,117.43,41.075,46.295,107.805,70.45,83.385,258.865,191.355,157.375,46.325,136.2,113.03,167.825,57.8,91.405,66.73,36.245,83.89,146.59,132.665,230.78,52.5,119.595,103.87,73.52
80,242.27,95.535,160.445,340.08,156.22,117.44,41.105,46.275,107.695,70.4,83.39,258.835,191.34,157.415,46.305,136.225,112.975,167.815,57.82,91.415,66.71,36.255,83.915,146.6,132.61,230.67,52.475,119.635,103.86,73.52
81,242.21,95.53,160.33,340.085,156.25,117.38,41.095,46.275,107.77,70.44,83.375,258.93,191.345,157.31,46.285,136.21,112.93,167.815,57.865,91.445,66.73,36.265,83.895,146.59,132.57,230.63,52.505,119.59,103.74,73.45
82,242.235,95.51,160.445,339.855,156.255,117.295,41.085,46.245,107.765,70.465,83.295,258.95,191.355,157.24,46.285,136.225,112.85,167.625,57.935,91.445,66.77,36.295,83.86,146.59,132.57,230.62,52.495,119.51,103.735,73.425
83,242.315,95.5,160.51,339.875,156.265,117.23,41.095,46.245,107.81,70.42,83.215,258.86,191.405,157.26,46.255,136.22,112.835,167.785,57.96,91.41,66.77,36.285,83.805,146.585,132.63,230.9,52.495,119.5,103.735,73.425
84,242.32,95.57,160.54,340.06,156.08,117.195,41.105,46.245,107.82,70.385,83.16,258.705,191.42,157.29,46.225,136.34,112.795,167.755,57.98,91.405,66.78,36.285,83.78,146.59,132.64,230.79,52.44,119.57,103.735,73.435
85,242.485,95.625,160.45,339.955,156.255,117.375,41.125,46.255,107.86,70.42,83.2,258.77,191.445,157.385,46.205,136.57,112.785,167.77,58.085,91.415,66.82,36.345,83.82,146.585,132.64,231.03,52.455,119.625,103.79,73.435
86,242.66,95.73,160.335,339.96,156.26,117.335,41.115,46.245,107.88,70.415,83.215,258.765,191.62,157.305,46.235,136.46,112.765,167.775,58.125,91.415,66.815,36.365,83.785,146.615,132.68,230.975,52.485,119.31,103.88,73.515
87,242.61,95.77,160.335,340.485,156.265,117.32,41.115,46.255,107.865,70.445,83.18,258.995,191.755,157.295,46.215,136.595,112.76,167.92,58.205,91.445,66.79,36.405,83.775,146.745,132.65,230.985,52.485,119.58,103.905,73.57
88,242.61,95.8,160.335,340.435,156.13,117.2,41.085,46.235,107.855,70.455,83.16,258.96,191.725,157.33,46.235,136.595,112.74,167.925,58.2,91.355,66.805,36.375,83.715,146.825,132.635,230.91,52.46,119.365,103.86,73.57
89,242.475,95.865,160.28,340.245,156.065,117.31,41.085,46.225,107.855,70.515,83.225,259.13,191.605,157.295,46.215,136.45,112.815,167.995,58.2,91.325,66.805,36.365,83.725,146.81,132.595,230.96,52.515,119.395,103.835,73.46
90,242.48,95.94,160.58,340.265,155.8,117.27,41.085,46.215,107.855,70.585,83.18,259.325,191.585,157.28,46.255,136.495,112.88,167.98,58.225,91.345,66.74,36.385,83.735,146.81,132.6,230.925,52.515,119.415,103.84,73.445
91,242.535,95.935,160.62,340.26,155.52,117.295,41.065,46.215,107.855,70.57,83.175,259.39,191.49,157.305,46.26,136.38,112.945,167.93,58.26,91.305,66.69,36.375,83.735,146.845,132.59,230.945,52.505,119.405,103.935,73.55
92,242.455,95.96,160.65,340.165,155.69,117.41,41.085,46.205,107.835,70.585,83.265,259.39,191.5,157.29,46.295,136.525,112.955,167.975,58.335,91.325,66.715,36.395,83.73,146.81,132.565,231.025,52.575,119.505,103.91,73.515
93,242.37,95.825,160.845,340.17,155.86,117.545,41.085,46.175,107.83,70.515,83.235,259.4,191.675,157.335,46.305,136.38,112.965,168.105,58.28,91.365,66.745,36.365,83.7,146.82,132.575,231.05,52.585,119.54,103.91,73.47
94,242.53,95.875,161.075,340.345,156.25,117.515,41.085,46.175,107.72,70.535,83.245,259.405,191.54,157.39,46.245,136.335,112.955,168.005,58.26,91.36,66.705,36.355,83.665,146.7,132.59,230.975,52.56,119.555,103.845,73.57
95,242.49,95.89,161.225,340.315,156.3,117.71,41.095,46.205,107.705,70.55,83.275,259.625,191.57,157.545,46.225,136.325,112.98,168.035,58.295,91.385,66.64,36.355,83.68,146.72,132.61,231.105,52.585,119.595,103.85,73.6
96,242.425,95.845,161.185,340.115,156.285,117.625,41.085,46.17,107.63,70.535,83.165,259.57,191.44,157.57,46.245,136.2,112.98,167.86,58.25,91.355,66.605,36.345,83.575,146.635,132.46,231.075,52.54,119.565,103.835,73.58
97,242.365,95.8,161.145,339.815,156.285,117.465,41.085,46.175,107.53,70.555,83.16,259.355,191.43,157.515,46.275,136.2,113.025,167.82,58.25,91.345,66.605,36.345,83.555,146.625,132.385,231,52.49,119.565,103.805,73.665
98,242.37,95.78,161.065,339.845,156.3,117.405,41.085,46.175,107.52,70.545,83.09,259.405,191.48,157.475,46.295,136.18,113.09,167.905,58.295,91.335,66.605,36.365,83.56,146.705,132.365,231,52.49,119.565,103.77,73.62
99,242.36,95.795,161.155,339.785,156.2,117.43,41.095,46.165,107.665,70.515,83.135,259.39,191.45,157.48,46.275,136.13,113.11,167.77,58.295,91.355,66.575,36.365,83.525,146.79,132.255,230.99,52.485,119.505,103.745,73.605
100,242.36,95.8,161.14,340.18,156.21,117.475,41.075,46.175,107.66,70.515,83.165,259.295,191.5,157.52,46.265,136.125,113.11,167.825,58.31,91.355,66.53,36.355,83.535,146.795,132.32,230.935,52.45,119.44,103.73,73.42
101,242.305,95.785,161.175,340.205,156.195,117.36,41.065,46.185,107.655,70.46,83.175,259.46,191.56,157.475,46.28,136.09,113.18,167.88,58.345,91.415,66.535,36.355,83.535,146.795,132.37,230.8,52.435,119.29,103.68,73.415
102,242.315,95.72,161.12,340.235,156.17,117.31,41.015,46.205,107.655,70.455,83.105,259.265,191.58,157.445,46.235,136.11,113.115,167.76,58.4,91.395,66.44,36.375,83.59,146.8,132.265,230.77,52.425,119.2,103.675,73.44
103,242.365,95.685,161.14,339.775,156.18,117.21,40.975,46.215,107.58,70.41,82.93,259.135,191.465,157.39,46.245,136.155,113.1,167.75,58.325,91.44,66.48,36.335,83.635,146.78,132.39,230.585,52.425,119.21,103.615,73.435
104,242.38,95.68,161.14,339.86,156.175,117.155,40.975,46.215,107.565,70.365,82.92,259.075,191.525,157.285,46.235,136.17,113.095,167.715,58.245,91.485,66.465,36.305,83.685,146.765,132.405,230.525,52.42,119.22,103.6,73.255
105,242.37,95.63,161.21,339.74,155.92,117.065,40.965,46.205,107.515,70.225,82.92,258.935,191.665,157.425,46.205,136.11,113.025,167.93,58.105,91.505,66.405,36.275,83.66,146.555,132.305,230.33,52.385,119.225,103.515,73.25
106,242.37,95.63,161.135,339.53,156.07,116.935,40.935,46.195,107.405,70.205,82.84,258.865,191.695,157.355,46.155,136.115,112.965,167.84,58.13,91.545,66.41,36.275,83.63,146.56,132.365,230.29,52.385,119.205,103.455,73.24
107,242.38,95.655,161.185,339.51,156.1,116.87,40.965,46.215,107.425,70.18,82.9,258.965,191.825,157.46,46.175,136.115,113.05,167.795,58.19,91.585,66.41,36.315,83.66,146.7,132.43,230.53,52.43,119.205,103.44,73.32
108,242.52,95.66,161.245,339.645,156.115,116.785,40.925,46.205,107.43,70.2,82.89,259.015,191.775,157.445,46.145,136.145,113.055,167.76,58.21,91.565,66.445,36.315,83.625,146.7,132.435,230.505,52.405,119.2,103.435,73.35
109,242.52,95.61,161.19,339.545,155.93,117.005,40.905,46.205,107.425,70.195,82.93,259.015,191.815,157.435,46.115,136.155,113.05,167.685,58.265,91.52,66.43,36.335,83.61,146.575,132.275,230.49,52.415,119.18,103.39,73.375
110,242.52,95.665,161.33,339.82,155.94,117.025,40.945,46.205,107.425,70.19,82.92,258.995,191.93,157.445,46.145,136.21,113.055,167.7,58.29,91.585,66.45,36.345,83.62,146.585,132.355,230.46,52.425,119.225,103.465,73.46
111,242.515,95.66,161.34,339.675,155.905,117.025,40.935,46.205,107.4,70.215,82.93,259.08,191.785,157.425,46.155,136.21,113.075,167.71,58.335,91.545,66.45,36.355,83.605,146.545,132.355,230.64,52.445,119.245,103.435,73.46
112,242.515,95.72,161.35,339.9,155.95,117.07,40.965,46.205,107.39,70.245,83.025,259.31,191.725,157.475,46.185,136.325,113.145,167.69,58.375,91.545,66.465,36.375,83.615,146.55,132.325,230.775,52.465,119.275,103.45,73.48
113,242.55,95.735,161.445,339.705,155.965,116.99,40.955,46.205,107.42,70.305,82.95,259.335,191.775,157.445,46.155,136.265,113.16,167.675,58.345,91.515,66.49,36.365,83.625,146.64,132.355,230.85,52.465,119.285,103.43,73.39
114,242.505,95.715,161.43,339.705,155.965,116.82,40.955,46.185,107.42,70.3,82.925,259.365,191.795,157.565,46.135,136.255,113.14,167.66,58.35,91.535,66.455,36.365,83.605,146.645,132.34,230.73,52.485,119.295,103.455,73.385
115,242.33,95.745,161.565,339.655,156.005,116.81,40.945,46.195,107.435,70.335,82.98,259.345,191.82,157.53,46.125,136.27,113.115,167.675,58.35,91.53,66.46,36.375,83.615,146.645,132.315,230.855,52.515,119.37,103.455,73.49
